LCA_Class,t,MEMS_actual,MEMS_sarima,period
14,32,,313.94757064868725,forecast
14,33,,313.4393163414427,forecast
14,34,,395.6091882948152,forecast
14,35,,262.79709736144645,forecast
14,36,,298.8888304415282,forecast
14,37,,297.9548622756193,forecast
14,38,,379.8838803240368,forecast
14,39,,247.49119635480787,forecast
14,40,,283.3842038002842,forecast
14,41,,282.4243509167233,forecast
14,42,,364.33872432225706,forecast
14,43,,231.97154155287637,forecast
15,0,727.3145933014354,,train
15,1,766.9895287958116,,train
15,2,939.8150684931506,,train
15,3,759.1306306306307,,train
15,4,660.1321989528795,,train
15,5,965.066265060241,,train
15,6,906.8400473933649,,train
15,7,660.7028571428572,,train
15,8,758.3337104072398,,train
15,9,772.2932692307693,,train
15,10,899.505376344086,,train
15,11,603.8673469387755,,train
15,12,677.5898692810457,,train
15,13,771.2393048128342,,train
15,14,892.9892086330935,,train
15,15,980.7826086956521,,train
15,16,658.690594059406,,train
15,17,861.7181818181818,,train
15,18,975.2902298850574,,train
15,19,734.3452380952381,,train
15,20,654.0218023255813,,train
15,21,938.2081005586592,,train
15,22,1005.6742021276596,,train
15,23,810.7321428571429,,train
15,24,802.7334337349398,,train
15,25,930.4465408805031,,train
15,26,934.3128140703518,,train
15,27,842.7892156862745,,train
15,28,842.7892156862745,752.2797512817822,forecast
15,29,,921.4153581825769,forecast
15,30,,1013.3908742825074,forecast
15,31,,828.1161201832416,forecast
15,32,,784.120814055964,forecast
15,33,,937.9842547057003,forecast
15,34,,1013.1444976417357,forecast
15,35,,847.0257873519655,forecast
15,36,,793.4340810181834,forecast
15,37,,950.4562284947534,forecast
15,38,,1029.1177196632343,forecast
15,39,,859.0140139126137,forecast
15,40,,807.4183801728324,forecast
15,41,,963.7835306299094,forecast
15,42,,1041.7168398907706,forecast
15,43,,872.4419343618189,forecast
16,0,525.3981481481482,,train
16,1,583.8063063063063,,train
16,2,551.318359375,,train
16,3,620.4446721311475,,train
16,4,464.61842105263156,,train
16,5,891.7549504950495,,train
16,6,700.7029411764706,,train
16,7,535.5717821782179,,train
16,8,577.7938144329897,,train
16,9,603.9166666666666,,train
16,10,728.0792079207921,,train
16,11,681.4266666666666,,train
16,12,424.51875,,train
16,13,455.9731182795699,,train
16,14,498.95,,train
16,15,584.2727272727273,,train
16,16,425.14948453608247,,train
16,17,463.36479591836735,,train
16,18,484.7204301075269,,train
16,19,521.3591549295775,,train
16,20,475.5817757009346,,train
16,21,518.4036144578313,,train
16,22,680.0747422680413,,train
16,23,583.0,,train
16,24,525.4705882352941,,train
16,25,675.2142857142857,,train
16,26,620.3873626373627,,train
16,27,373.20588235294116,,train
16,28,373.20588235294116,385.89848866400496,forecast
16,29,,529.9716520286624,forecast
16,30,,545.0654510391956,forecast
16,31,,484.48955429726107,forecast
16,32,,402.8756318778205,forecast
16,33,,518.8093939384156,forecast
16,34,,529.5194247343602,forecast
16,35,,476.1429017546453,forecast
16,36,,389.1084547670812,forecast
16,37,,503.4336780813894,forecast
16,38,,513.869582459364,forecast
16,39,,460.8430512365022,forecast
16,40,,373.52973511077073,forecast
16,41,,487.7722552892611,forecast
16,42,,498.1939285720146,forecast
16,43,,445.18503429304974,forecast
17,0,503.7429775280899,,train
17,1,736.1520467836257,,train
17,2,722.8979057591623,,train
17,3,563.9237012987013,,train
17,4,559.4199438202247,,train
17,5,686.23046875,,train
17,6,789.7985714285714,,train
17,7,521.3421875,,train
17,8,655.4588068181819,,train
17,9,710.4748603351956,,train
17,10,687.6666666666666,,train
17,11,547.8629032258065,,train
17,12,573.5505780346821,,train
17,13,611.12,,train
17,14,620.512987012987,,train
17,15,631.8673913043478,,train
17,16,381.9069264069264,,train
17,17,652.4081081081081,,train
17,18,638.6627218934912,,train
17,19,605.7326732673267,,train
17,20,582.1595477386935,,train
17,21,646.7107329842931,,train
17,22,736.4234234234234,,train
17,23,669.1842105263158,,train
17,24,639.8997395833334,,train
17,25,852.1826424870467,,train
17,26,802.7104591836735,,train
17,27,635.6950867052024,,train
17,28,635.6950867052024,681.1123157845369,forecast
17,29,,813.5978342650693,forecast
17,30,,822.2407773189226,forecast
17,31,,687.4479314482878,forecast
17,32,,684.125347788962,forecast
17,33,,825.0336158546505,forecast
17,34,,836.2182440684772,forecast
17,35,,713.8601148301311,forecast
17,36,,696.9052565843793,forecast
17,37,,840.6377751682542,forecast
17,38,,852.0990081720382,forecast
17,39,,732.8596606027141,forecast
17,40,,712.5796032164284,forecast
17,41,,857.0127459394034,forecast
17,42,,868.5305741230662,forecast
17,43,,750.0429702496655,forecast
18,0,137.35294117647058,,train
18,1,377.625,,train
18,2,713.8125,,train
18,3,351.375,,train
18,4,295.80882352941177,,train
18,5,365.4326923076923,,train
18,6,457.3557692307692,,train
18,7,611.9047619047619,,train
18,8,533.8392857142857,,train
18,9,566.25,,train
18,10,717.2894736842105,,train
18,11,436.61764705882354,,train
18,12,523.3875,,train
18,13,539.2380952380952,,train
18,14,390.0,,train
18,15,1514.4,,train
18,16,198.33333333333334,,train
18,17,609.9625,,train
18,18,550.5,,train
18,19,479.0952380952381,,train
18,20,577.0833333333334,,train
18,21,620.0104166666666,,train
18,22,700.8611111111111,,train
18,23,620.8,,train
18,24,691.4583333333334,,train
18,25,1035.0892857142858,,train
18,26,820.9615384615385,,train
18,27,415.6730769230769,,train
18,28,415.6730769230769,751.4512393061315,forecast
18,29,,711.9164829789477,forecast
18,30,,824.4971811152453,forecast
18,31,,862.6311977659338,forecast
18,32,,680.5461007337806,forecast
18,33,,831.5156040957186,forecast
18,34,,865.7555260592551,forecast
18,35,,881.2010200433677,forecast
18,36,,739.1005492308423,forecast
18,37,,875.1081456577823,forecast
18,38,,915.6505987838433,forecast
18,39,,933.230245519737,forecast
18,40,,787.6021015271227,forecast
18,41,,924.9268226364751,forecast
18,42,,964.9161407004513,forecast
18,43,,982.3118851775859,forecast
19,0,377.1569343065693,,train
19,1,615.5448717948718,,train
19,2,628.4444444444445,,train
19,3,447.3434579439252,,train
19,4,453.2729007633588,,train
19,5,615.7769784172662,,train
19,6,492.14102564102564,,train
